CHV;Código Fazenda;CD_UPNIVEL3;DT_ANALISE;NIVEL INFESTAÇÃO;;Nivel de Infestação;
203230014;20323;14;15/05/2020;A;;;
203230015;20323;15;15/05/2020;B;;;
203230016;20323;16;15/05/2020;B;;;
203230017;20323;17;15/05/2020;B;;;
203250011;20325;11;23/07/2020;B;;;
203250013;20325;13;23/07/2020;B;;;
203250015;20325;15;23/07/2020;B;;;
203250023;20325;23;23/07/2020;B;;;
203250024;20325;24;23/07/2020;B;;;
203250025;20325;25;23/07/2020;B;;;
203250027;20325;27;23/07/2020;M;;;
203250028;20325;28;23/07/2020;B;;;
203250029;20325;29;23/07/2020;B;;;
203250030;20325;30;23/07/2020;B;;;
203250031;20325;31;23/07/2020;B;;;
203250032;20325;32;23/07/2020;B;;;
203270001;20327;1;05/01/2022;M;;;
203270005;20327;5;05/01/2022;A;;;
203270006;20327;6;05/01/2022;M;;;
203270011;20327;11;05/01/2022;A;;;
203280012;20328;12;27/01/2021;B;;;
203280013;20328;13;27/01/2021;B;;;
203280041;20328;41;07/06/2020;B;;;
203280043;20328;43;07/06/2020;M;;;
203280046;20328;46;07/06/2020;M;;;
203280047;20328;47;07/06/2020;B;;;
203280048;20328;48;27/01/2021;B;;;
203280050;20328;50;27/01/2021;B;;;
203280058;20328;58;27/01/2021;B;;;
203280074;20328;74;27/01/2021;B;;;
203280082;20328;82;27/01/2021;B;;;
203290001;20329;1;21/01/2021;B;;;
203290002;20329;2;21/01/2021;B;;;
203290003;20329;3;21/01/2021;B;;;
203290004;20329;4;21/01/2021;B;;;
203290005;20329;5;21/01/2021;B;;;
203290006;20329;6;21/01/2021;B;;;
203290008;20329;8;05/01/2022;A;;;
203300002;20330;2;02/03/2022;A;;;
203310001;20331;1;28/04/2020;A;;;
203310002;20331;2;28/04/2020;A;;;
203310003;20331;3;28/04/2020;A;;;
203310004;20331;4;01/08/2020;B;;;
203310005;20331;5;01/08/2020;B;;;
203310006;20331;6;01/08/2020;B;;;
203310007;20331;7;01/08/2020;B;;;
203310008;20331;8;01/08/2020;B;;;
203310009;20331;9;01/08/2020;A;;;
203310011;20331;11;01/08/2020;A;;;
203310014;20331;14;01/08/2020;B;;;
203330001;20333;1;20/01/2016;B;;;
203330002;20333;2;05/01/2022;A;;;
203330006;20333;6;05/01/2022;B;;;
203330007;20333;7;05/01/2022;A;;;
203330010;20333;10;05/01/2022;A;;;
203330011;20333;11;05/01/2022;A;;;
203340003;20334;3;21/01/2021;B;;;
203340006;20334;6;21/01/2021;B;;;
203340011;20334;11;21/01/2021;B;;;
203350001;20335;1;22/04/2021;B;;;
203350002;20335;2;22/04/2021;B;;;
203350003;20335;3;22/04/2021;M;;;
203350004;20335;4;10/12/2019;B;;;
203350005;20335;5;10/12/2019;M;;;
203350006;20335;6;05/01/2022;B;;;
203390003;20339;3;21/12/2023;M;;;
203390009;20339;9;05/01/2022;B;;;
203400001;20340;1;20/01/2016;B;;;
